p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,C,y_R,k2,Lambda,cs2_max,success,at_boundary
1e+33,0.0,2.0,2,0.39626759260311983,43.60835253052796,0.01341844645761786,1.8538864614425121,0.016575846789929724,25402313.8131473,1.0,True,False
1.2742749857031426e+33,0.0,2.0,2,0.3955196515174372,41.177044645404685,0.014183919381137207,1.8578213194914668,0.016269631359188373,18893185.250613693,1.0,True,False
1.6237767391887176e+33,0.0,2.0,2,0.3945789205405733,38.83130337222238,0.015004974906398813,1.8609096588178915,0.016055259381359786,14071801.4866137,1.0,True,False
2.0691380811147986e+33,0.0,2.0,2,0.3934364787901582,36.641617296767066,0.015855624463050312,1.8646862850012844,0.01577953145368602,10497504.96943618,1.0,True,False
2.636650898730345e+33,0.0,2.0,2,0.3920834362253658,34.57103691645874,0.01674747934316653,1.86856692302085,0.015501390302100312,7843901.62490398,1.0,True,False
3.359818286283788e+33,0.0,2.0,2,0.3905109963539158,32.63588237927345,0.017669378312789936,1.8730783319645683,0.015169408478098013,5871797.100804238,1.0,True,False
5.455594781168515e+33,0.0,2.0,2,0.39884783509116206,27.519582316040196,0.021401724148630504,1.8731085734036232,0.015573077282305338,2312274.3923098617,1.0,True,False
1.438449888287654e+34,0.0,2.0,2,0.5612807887412206,18.385615792809915,0.04508015060434547,1.7196007900526378,0.030811302920330918,110329.5922992449,1.0,True,False
1.128837891684693e+34,0.0,2.0,2,0.4995848434669943,19.99404951794619,0.036897067589296194,1.7863187900792519,0.024702674245801255,240820.49979565392,1.0,True,False
8.858667904100795e+33,0.0,2.0,2,0.45209256002453746,22.097228497735028,0.030211543542593075,1.8331113813618363,0.020076504281677603,531780.3242191111,1.0,True,False
6.951927961775648e+33,0.0,2.0,2,0.4187689415388168,24.6074735465472,0.02512990219604619,1.8585626808493065,0.017305409526232763,1151162.4912117126,1.0,True,False
4.281332398719361e+33,0.0,2.0,2,0.39068822310802764,30.312492573006946,0.019032333164877225,1.8754927762814722,0.01509016822717485,4028493.4770742757,1.0,True,False
6.15848211066028e+34,0.0,2.0,2,1.188711599929273,14.269385898363732,0.12301401079893066,1.1362555055876091,0.06417658485591676,1518.8414830384352,1.0,True,False
2.976351441631313e+34,0.0,2.0,2,0.8266963717210825,15.56457292312045,0.0784318003351353,1.4251294463623358,0.052992959308100336,11903.262023120373,1.0,True,False
2.3357214690901024e+34,0.0,2.0,2,0.7255924516087402,16.23369285072005,0.06600225784644861,1.527588554017918,0.046206452352446664,24593.333795745988,1.0,True,False
1.8329807108324376e+34,0.0,2.0,2,0.637287170109143,17.179270135088373,0.054778965647821004,1.6388099459152896,0.03762141011582748,50848.09336558606,1.0,True,False
1.06558035900799e+35,0.0,2.0,2,1.4920965110817046,13.66764928180871,0.16120794794929907,0.9722595826125924,0.06188953003845319,378.9602662811336,1.0,True,False
3.7926901907322693e+34,0.0,2.0,2,0.9387547199892518,15.033860259886877,0.09220723209869333,1.3205378356990296,0.05869301893289611,5870.4347083632365,1.0,True,False
4.832930238571732e+34,0.0,2.0,2,1.0601062441476319,14.629314745691913,0.1070061576513073,1.2279315719717119,0.062161565875261615,2953.8391199965486,1.0,True,False
1e+35,0.0,2.0,2,1.4569978468185214,13.704374459628292,0.15699399973607026,0.9965892291110712,0.061985482873245346,433.2947820661043,1.0,True,False
