p_c,rho0,rc,n,M,R,M_over_R,rho_c_matter,rho_c_total,success,fail_reason,at_boundary
2.465112447727596e-06,0.0,1.0,2,0.038025774342479224,3.922043742047583,0.00969539781895117,0.0004964989876855336,0.0004964989876855336,True,,False
3.0888435964774785e-06,0.0,1.0,2,0.04239308050896914,3.9182347994680087,0.01081943341290445,0.0005557736586486875,0.0005557736586486875,True,,False
1.5700676570541763e-06,0.0,1.0,2,0.030556918217515102,3.928430124159841,0.007778404413913356,0.0003962407925812506,0.0003962407925812506,True,,False
4.8496934285282e-06,0.0,1.0,2,0.05261244370275706,3.902539567399549,0.013481591357141647,0.0006963974029624322,0.0006963974029624322,True,,False
0.00022439873697106488,0.0,1.0,2,0.2774500209244993,3.5925089698666333,0.07723015398199526,0.004737074381631187,0.004737074381631187,True,,False
3.870393325178752e-06,0.0,1.0,2,0.04723959077023894,3.911526680265457,0.012077021232802382,0.0006221248528373345,0.0006221248528373345,True,,False
1e-06,0.0,1.0,2,0.024521423566087303,3.93338128515255,0.006234184226850584,0.00031622776601683794,0.00031622776601683794,True,,False
0.0002811768697974231,0.0,1.0,2,0.30057717834194264,3.5550981777997523,0.08454820747818831,0.005302611335911987,0.005302611335911987,True,,False
6.076779379941527e-06,0.0,1.0,2,0.0585621169654489,3.8941217805727777,0.015038594133754885,0.000779537002325196,0.000779537002325196,True,,False
4.627070561843051e-05,0.0,1.0,2,0.147613527895009,3.775919593966613,0.03909339810383532,0.0021510626587440567,0.0021510626587440567,True,,False
0.0003523211992020766,0.0,1.0,2,0.324608047435186,3.5138273207548583,0.09238019339136223,0.0059356650781700665,0.0059356650781700665,True,,False
7.264813836057271e-05,0.0,1.0,2,0.17867073871350353,3.73598067559256,0.04782432090207874,0.0026953318600976156,0.0026953318600976156,True,,False
1.2530234064271025e-06,0.0,1.0,2,0.027377521476980686,3.931858382696371,0.006962997852991302,0.00035398070659671587,0.00035398070659671587,True,,False
7.614346798760308e-06,0.0,1.0,2,0.06514216717280513,3.886855904396527,0.016759604362775855,0.0008726022460869733,0.0008726022460869733,True,,False
0.00044146670918066727,0.0,1.0,2,0.3493804153370145,3.4676992731810583,0.10075280115524954,0.0066442961190834,0.0066442961190834,True,,False
2.3519526350709613e-05,0.0,1.0,2,0.10955293922050184,3.833884066508344,0.028574922277260106,0.0015336077187700125,0.0015336077187700125,True,,False
1.9673315239630437e-06,0.0,1.0,2,0.034093888424616685,3.9248776934050955,0.008686611682678433,0.00044354611078928916,0.00044354611078928916,True,,False
0.0005531681197617227,0.0,1.0,2,0.37469604568936765,3.41929595889379,0.109582805991029,0.007437527275659046,0.007437527275659046,True,,False
1.195503963832759e-05,0.0,1.0,2,0.08042182346559146,3.8703827314849097,0.020778777977530104,0.00109339103884784,0.00109339103884784,True,,False
0.00017908583017688427,0.0,1.0,2,0.25535286812643027,3.625181032731299,0.07043865280682031,0.00423185337856694,0.00423185337856694,True,,False
9.102981779915228e-05,0.0,1.0,2,0.19601528535588147,3.716738490207695,0.052738519503675904,0.0030171148105292956,0.0030171148105292956,True,,False
2.94705170255181e-05,0.0,1.0,2,0.12116850778929875,3.8149558570757645,0.03176144425486923,0.0017166979066078603,0.0017166979066078603,True,,False
0.00014292297275398356,0.0,1.0,2,0.23437850143855518,3.6564441882938405,0.06410011731860188,0.003780515477471076,0.003780515477471076,True,,False
1.8770221074938807e-05,0.0,1.0,2,0.09893129266558337,3.84508053119398,0.0257293161646378,0.0013700445640539875,0.0013700445640539875,True,,False
3.692724763248261e-05,0.0,1.0,2,0.1338374465843416,3.803008609999378,0.03519251737491162,0.0019216463678960968,0.0019216463678960968,True,,False
0.0006931326017507085,0.0,1.0,2,0.4003197923967415,3.370383572010319,0.11877573689868312,0.008325458556444254,0.008325458556444254,True,,False
0.000868511373751352,0.0,1.0,2,0.4259818018630765,3.3183201823741713,0.12837272428554428,0.009319395762340775,0.009319395762340775,True,,False
0.0010882650800586014,0.0,1.0,2,0.45138668371908036,3.257994359671059,0.13854741104114565,0.01043199444046344,0.01043199444046344,True,,False
9.540954763499944e-06,0.0,1.0,2,0.07240908450105359,3.8817725366509506,0.01865361347615836,0.0009767781100894894,0.0009767781100894894,True,,False
1.497994449158824e-05,0.0,1.0,2,0.08924172241137705,3.8543945337665173,0.023153240185863892,0.0012239258348277578,0.0012239258348277578,True,,False
0.0013636216177106907,0.0,1.0,2,0.4762151156729392,3.201206223903319,0.14876114888102304,0.011677421023970536,0.011677421023970536,True,,False
5.797827717179135e-05,0.0,1.0,2,0.1625457146831967,3.764353278591609,0.043180249741068766,0.0024078678778494335,0.0024078678778494335,True,,False
0.00011406249238513202,0.0,1.0,2,0.21458808906464377,3.687184398082796,0.05819836110616597,0.003377313908791009,0.003377313908791009,True,,False
0.0017086498045014841,0.0,1.0,2,0.5001365191508231,3.1352683667821677,0.1595195245324821,0.013071533209618083,0.013071533209618083,True,,False
0.0026826957952797246,0.0,1.0,2,0.5439362150194968,3.003470690516356,0.18110255470013706,0.016378937069540637,0.016378937069540637,True,,False
0.0033614806238090617,0.0,1.0,2,0.5631967081301181,2.9337598595939323,0.19197096391116053,0.018334341067540613,0.018334341067540613,True,,False
0.0021409781984274524,0.0,1.0,2,0.5228159263036826,3.064565964178955,0.1706003174396519,0.014632081869739017,0.014632081869739017,True,,False
0.004212013901883932,0.0,1.0,2,0.5803331515461937,2.857871050025173,0.20306484840912675,0.02052319152053094,0.02052319152053094,True,,False
0.0052777520072569105,0.0,1.0,2,0.5951330235423278,2.78300901943652,0.21384516521000183,0.022973358499046043,0.022973358499046043,True,,False
0.006613146798410525,0.0,1.0,2,0.607437928665889,2.7076614925887292,0.22434042450599403,0.02571603934981148,0.02571603934981148,True,,False
0.010383087899535761,0.0,1.0,2,0.6242499785274803,2.557441595219277,0.24409158734823685,0.03222279922591419,0.03222279922591419,True,,False
0.016302150491411684,0.0,1.0,2,0.6307957260280587,2.4121639507519714,0.26150615750285694,0.04037592165067156,0.04037592165067156,True,,False
0.03207173457014383,0.0,1.0,2,0.6236950170542931,2.195371795128262,0.2840953948840608,0.05663191200210693,0.05663191200210693,True,,False
0.04018663410110749,0.0,1.0,2,0.6176994823270585,2.135888490860477,0.28920024850089826,0.06339292870747296,0.06339292870747296,True,,False
0.008286427728546842,0.0,1.0,2,0.6171531094925198,2.6297043672934275,0.23468535747526353,0.02878615592354568,0.02878615592354568,True,,False
0.025595479226995333,0.0,1.0,2,0.6280481614650759,2.2664809213485335,0.27710277882744916,0.05059197488435822,0.05059197488435822,True,,False
1.195503963832759e-05,1e-05,1.0,2,0.003242988488539838,0.9052490287574023,0.003582426918470549,0.00109339103884784,0.00110339103884784,True,,False
0.02042697614083593,0.0,1.0,2,0.630492461466919,2.3404943344160185,0.2693843143287225,0.04519621238647762,0.04519621238647762,True,,False
0.06309573444801933,0.0,1.0,2,0.6018261665771687,2.014098290611579,0.29880675108185745,0.07943282347242815,0.07943282347242815,True,,False
1.497994449158824e-05,1e-05,1.0,2,0.011070400514944654,1.342482414225974,0.008246216410460349,0.0012239258348277578,0.0012339258348277578,True,,False
0.013010252169108302,0.0,1.0,2,0.628765350635999,2.4848164096431975,0.25304298063867237,0.03606972715326289,0.03606972715326289,True,,False
2.94705170255181e-05,1e-05,1.0,2,0.048667213950193404,2.092048105929609,0.023262951655964884,0.0017166979066078603,0.0017266979066078603,True,,False
2.3519526350709613e-05,1e-05,1.0,2,0.034194521246628265,1.892547734731264,0.018067983501342852,0.0015336077187700125,0.0015436077187700125,True,,False
1.8770221074938807e-05,1e-05,1.0,2,0.021565264249517054,1.650296463980687,0.013067509214374362,0.0013700445640539875,0.0013800445640539875,True,,False
3.692724763248261e-05,1e-05,1.0,2,0.06480235234204013,2.260117956394809,0.028672110744789873,0.0019216463678960968,0.0019316463678960968,True,,False
0.05035479315420916,0.0,1.0,2,0.610319100773194,2.0703446501405685,0.2947910632810608,0.07096111128935986,0.07096111128935986,True,,False
5.797827717179135e-05,1e-05,1.0,2,0.10158836465641373,2.5260898312554247,0.04021565797045547,0.0024078678778494335,0.0024178678778494335,True,,False
4.627070561843051e-05,1e-05,1.0,2,0.08247271685231998,2.4033579688101416,0.034315619197231244,0.0021510626587440567,0.0021610626587440568,True,,False
0.00014292297275398356,1e-05,1.0,2,0.19096257886824275,2.8592568666220255,0.06678748632117448,0.003780515477471076,0.003790515477471076,True,,False
7.264813836057271e-05,1e-05,1.0,2,0.1220540794370301,2.630999499856688,0.046390764971136804,0.0026953318600976156,0.0027053318600976156,True,,False
9.102981779915228e-05,1e-05,1.0,2,0.1438348255834659,2.720726381326503,0.052866332524529186,0.0030171148105292956,0.0030271148105292956,True,,False
0.00011406249238513202,1e-05,1.0,2,0.16682462843149765,2.796324179677662,0.0596585437568,0.003377313908791009,0.003387313908791009,True,,False
0.00017908583017688427,1e-05,1.0,2,0.21615057311501223,2.910351310134472,0.07426958125719368,0.00423185337856694,0.004241853378566939,True,,False
0.0002811768697974231,1e-05,1.0,2,0.2692646472763581,2.980624066647745,0.09033834568047198,0.005302611335911987,0.005312611335911987,True,,False
0.00022439873697106488,1e-05,1.0,2,0.24229595309052446,2.950624442753675,0.08211683926281088,0.004737074381631187,0.004747074381631186,True,,False
0.0003523211992020766,1e-05,1.0,2,0.2969120498872716,3.001137993444766,0.0989331548685204,0.0059356650781700665,0.005945665078170066,True,,False
0.0017086498045014841,1e-05,1.0,2,0.490310480447291,2.9107595089174945,0.16844760927351105,0.013071533209618083,0.013081533209618083,True,,False
0.000868511373751352,1e-05,1.0,2,0.41008280581761436,2.994800807572471,0.1369315798168292,0.009319395762340775,0.009329395762340775,True,,False
0.0013636216177106907,1e-05,1.0,2,0.46460481926321573,2.9450532401584177,0.15775769786702534,0.011677421023970536,0.011687421023970536,True,,False
0.0010882650800586014,1e-05,1.0,2,0.4377726007151465,2.9737923952319587,0.14721020923217468,0.01043199444046344,0.01044199444046344,True,,False
0.0005531681197617227,1e-05,1.0,2,0.3534379375712155,3.0145233042692405,0.11724505067539806,0.007437527275659046,0.007447527275659046,True,,False
0.00044146670918066727,1e-05,1.0,2,0.32503684391200727,3.0122058806584198,0.10790658301249961,0.0066442961190834,0.0066542961190834,True,,False
0.0006931326017507085,1e-05,1.0,2,0.3818820781402649,3.008737944275865,0.12692434010971176,0.008325458556444254,0.008335458556444254,True,,False
0.0021409781984274524,1e-05,1.0,2,0.5145399912790716,2.8702142036400424,0.17926884712176722,0.014632081869739017,0.014642081869739016,True,,False
0.0033614806238090617,1e-05,1.0,2,0.5574242185003047,2.77473009972831,0.2008931313913686,0.018334341067540613,0.018344341067540612,True,,False
0.010383087899535761,1e-05,1.0,2,0.6219843481423041,2.470934101452797,0.25172033028991164,0.03222279922591419,0.03223279922591419,True,,False
0.0052777520072569105,1e-05,1.0,2,0.5911523574268378,2.6614571817735473,0.22211605036339696,0.022973358499046043,0.022983358499046043,True,,False
0.008286427728546842,1e-05,1.0,2,0.6144376683916597,2.5377122530741145,0.24212267078245253,0.02878615592354568,0.02879615592354568,True,,False
0.004212013901883932,1e-05,1.0,2,0.5755300123237044,2.719861060855341,0.2116027250828437,0.02052319152053094,0.02053319152053094,True,,False
0.006613146798410525,1e-05,1.0,2,0.6041429643787541,2.600542229793404,0.232314229493112,0.02571603934981148,0.02572603934981148,True,,False
0.0026826957952797246,1e-05,1.0,2,0.5370012931268019,2.8244339091415758,0.1901270521461809,0.016378937069540637,0.016388937069540636,True,,False
0.013010252169108302,1e-05,1.0,2,0.6269022708751066,2.407595160094966,0.2603852513353528,0.03606972715326289,0.036079727153262894,True,,False
0.016302150491411684,1e-05,1.0,2,0.6292492060086615,2.3417048076344162,0.26871414533428206,0.04037592165067156,0.040385921650671563,True,,False
0.025595479226995333,1e-05,1.0,2,0.6269614046286851,2.2129606662962815,0.2833133973763746,0.05059197488435822,0.050601974884358226,True,,False
0.04018663410110749,1e-05,1.0,2,0.6169095481744684,2.0889954791329433,0.2953139699615446,0.06339292870747296,0.06340292870747295,True,,False
0.03207173457014383,1e-05,1.0,2,0.6227790949612159,2.1485916644705956,0.2898545615993843,0.05663191200210693,0.056641912002106935,True,,False
0.02042697614083593,1e-05,1.0,2,0.6291796442283603,2.273627734037987,0.27672940244748445,0.04519621238647762,0.04520621238647762,True,,False
0.05035479315420916,1e-05,1.0,2,0.6096431990686902,2.029889876647054,0.300333139291128,0.07096111128935986,0.07097111128935986,True,,False
0.00014292297275398356,0.0001,1.0,2,0.027044621571931965,1.2315768199675092,0.021959346046026947,0.003780515477471076,0.003880515477471076,True,,False
0.00011406249238513202,0.0001,1.0,2,0.006156801931400172,0.7620113710233982,0.008079671991156051,0.003377313908791009,0.0034773139087910087,True,,False
0.06309573444801933,1e-05,1.0,2,0.6012381672615174,1.976166630061115,0.3042446715350737,0.07943282347242815,0.07944282347242815,True,,False
0.0005531681197617227,0.0001,1.0,2,0.24092408370704863,2.3066680867697555,0.10444679279559345,0.007437527275659046,0.007537527275659046,True,,False
0.0003523211992020766,0.0001,1.0,2,0.16170418502598913,2.0962373148982634,0.07714020921044291,0.0059356650781700665,0.006035665078170067,True,,False
0.00022439873697106488,0.0001,1.0,2,0.0878053919541839,1.769354808793856,0.04962565536193364,0.004737074381631187,0.004837074381631187,True,,False
0.0006931326017507085,0.0001,1.0,2,0.2808531804310425,2.3801065982569183,0.11800025286124857,0.008325458556444254,0.008425458556444254,True,,False
0.00044146670918066727,0.0001,1.0,2,0.2010172564735577,2.213251827002236,0.09082439423345141,0.0066442961190834,0.006744296119083401,True,,False
0.00017908583017688427,0.0001,1.0,2,0.05510496713837068,1.5387697343042026,0.03581105470812234,0.00423185337856694,0.00433185337856694,True,,False
0.000868511373751352,0.0001,1.0,2,0.3201932626280997,2.435756893325863,0.1314553449506602,0.009319395762340775,0.009419395762340774,True,,False
0.0002811768697974231,0.0001,1.0,2,0.12368412835896785,1.9507717561935767,0.06340266510742662,0.005302611335911987,0.005402611335911987,True,,False
0.0010882650800586014,0.0001,1.0,2,0.35850680010804437,2.475980537664046,0.14479386839053113,0.01043199444046344,0.01053199444046344,True,,False
0.0026826957952797246,0.0001,1.0,2,0.4926245014153744,2.510528495510875,0.19622342558399394,0.016378937069540637,0.016478937069540636,True,,False
0.0033614806238090617,0.0001,1.0,2,0.5196914822722103,2.494311504244739,0.20835067367801338,0.018334341067540613,0.018434341067540612,True,,False
0.0013636216177106907,0.0001,1.0,2,0.39532307826202345,2.502372913773109,0.15797928281838314,0.011677421023970536,0.011777421023970535,True,,False
0.0021409781984274524,0.0001,1.0,2,0.4627331643455724,2.518481831009242,0.18373496232853082,0.014632081869739017,0.014732081869739016,True,,False
0.0017086498045014841,0.0001,1.0,2,0.4301684217139116,2.5159682205842824,0.17097530016258067,0.013071533209618083,0.013171533209618082,True,,False
0.0052777520072569105,0.0001,1.0,2,0.5641725444967401,2.4375652821094382,0.2314492041043973,0.022973358499046043,0.023073358499046043,True,,False
0.004212013901883932,0.0001,1.0,2,0.5435382037657182,2.4691356450140622,0.22013298656284336,0.02052319152053094,0.02062319152053094,True,,False
0.008286427728546842,0.0001,1.0,2,0.5953747200917121,2.357210422415828,0.25257597473268084,0.02878615592354568,0.02888615592354568,True,,False
0.006613146798410525,0.0001,1.0,2,0.5814630407145571,2.4000487743502554,0.24227134336966616,0.02571603934981148,0.02581603934981148,True,,False
0.016302150491411684,0.0001,1.0,2,0.6179847006458665,2.20958051633896,0.27968417356874664,0.04037592165067156,0.04047592165067156,True,,False
0.010383087899535761,0.0001,1.0,2,0.606011437789904,2.3105521622266125,0.262279920660137,0.03222279922591419,0.03232279922591419,True,,False
0.02042697614083593,0.0001,1.0,2,0.6196365133106266,2.155057365216458,0.2875266910810929,0.04519621238647762,0.04529621238647762,True,,False
0.025595479226995333,0.0001,1.0,2,0.6189060799629336,2.102348658002583,0.29438793494460097,0.05059197488435822,0.050691974884358226,True,,False
0.04018663410110749,0.0001,1.0,2,0.6109684003630611,1.9942093628006716,0.3063712425384544,0.06339292870747296,0.06349292870747296,True,,False
0.0003523211992020766,0.0003,1.0,2,0.013582582465294528,0.8203960610062455,0.016556128327377632,0.0059356650781700665,0.006235665078170066,True,,False
0.06309573444801933,0.0001,1.0,2,0.5967480563082375,1.8932207729596928,0.3152025716342287,0.07943282347242815,0.07953282347242815,True,,False
