idx,v_inf,b_over_M,eps,ell,M,success,error,alpha_inf,alpha_near_horizon,r_straighten,r_inner,can_escape,n_turning_points
0,1.01,0.1,7.053456158585982,0.7123990720171842,1.0,True,,0.001960365740631374,0.0015953379118245675,nan,2.002002002002002,False,0
1,1.01,0.1213137112749696,7.053456158585982,0.8642377533524895,1.0,True,,0.0023781931530421556,0.0019353640154550515,nan,2.002002002002002,False,0
2,1.01,0.14717016543306685,7.053456158585982,1.048438892831323,1.0,True,,0.0028850756580720877,0.0023478626052059453,nan,2.002002002002002,False,0
5,1.01,0.2627540659397475,7.053456158585982,1.8718575274421814,1.0,True,,0.00515096016944389,0.004191825726729603,nan,2.002002002002002,False,0
3,1.01,0.1785375895763658,7.053456158585982,1.2719001313438791,1.0,True,,0.0034999946442375433,0.0028482804963830374,nan,2.002002002002002,False,0
4,1.01,0.21659057593596265,7.053456158585982,1.5429892530444727,1.0,True,,0.0042459774864846,0.003455356981505131,nan,2.002002002002002,False,0
7,1.01,0.3866955935256359,7.053456158585982,2.754815819807973,1.0,True,,0.0075807156874999615,0.006169137921074157,nan,2.002002002002002,False,0
6,1.01,0.31875670891738844,7.053456158585982,2.2708198363199923,1.0,True,,0.006248833982446638,0.005085266384178209,nan,2.002002002002002,False,0
8,1.01,0.4691147758427199,7.053456158585982,3.34196930979903,1.0,True,,0.009196489091797813,0.007484032558588225,nan,2.002002002002002,False,0
11,1.01,0.8375462131361637,7.053456158585982,5.966671450097098,1.0,True,,0.016419696307165846,0.013362084218726672,nan,2.002002002002002,False,0
12,1.01,1.016058394798447,7.053456158585982,7.238390575696834,1.0,True,,0.01991976524309011,0.016210267829532374,nan,2.002002002002002,False,0
9,1.01,0.569100544714058,7.053456158585982,4.05426699938769,1.0,True,,0.011156676409019697,0.009079197630324226,nan,2.002002002002002,False,0
10,1.01,0.6903969916786916,7.053456158585982,4.9183817619535555,1.0,True,,0.013534710660284518,0.011014382981607375,nan,2.002002002002002,False,0
13,1.01,1.2326181474508786,7.053456158585982,8.781160243955467,1.0,True,,0.024166160515991384,0.019665683830017194,nan,2.002002002002002,False,0
