p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,M_over_R,success,fail_reason,at_boundary
1e+33,0.0,2.0,2,0.38473141064926364,44.40058518246369,0.01279535418192395,True,,False
1.1919860873910918e+33,0.0,2.0,2,0.3837749833162389,42.57329762225619,0.013311369278185615,True,,False
1.4208308325339238e+33,0.0,2.0,2,0.3827276626808031,40.795202785384,0.013853647017616908,True,,False
2.018760254679043e+33,0.0,2.0,2,0.38034924429905465,37.449140908206786,0.014997679184165329,True,,False
1.6936105849167396e+33,0.0,2.0,2,0.3815866715225187,39.06036190265847,0.0144258128929749,True,,False
2.4063341373555167e+33,0.0,2.0,2,0.379012637155505,35.876631877911784,0.015600028333506004,True,,False
2.868316813342021e+33,0.0,2.0,2,0.3777958228605335,34.27286081081087,0.01627759188521587,True,,False
3.41899373573364e+33,0.0,2.0,2,0.37918517565989857,32.218379963016694,0.017379249261722806,True,,False
4.075392965871795e+33,0.0,2.0,2,0.3851287740621273,29.942792439575967,0.018993151321809797,True,,False
4.857811715970698e+33,0.0,2.0,2,0.3969254797636795,27.637475165415417,0.02120771966534021,True,,False
5.790443980602518e+33,0.0,2.0,2,0.41570776714092983,25.431503402627982,0.024137898980866535,True,,False
6.902128664695696e+33,0.0,2.0,2,0.4416701521811581,23.460200956528183,0.027800312894530315,True,,False
8.227241341700525e+33,0.0,2.0,2,0.4752371586724432,21.770363247821745,0.03223502980983389,True,,False
9.806757216915845e+33,0.0,2.0,2,0.5163807110713927,20.339349187161353,0.0374900759142649,True,,False
1.3933743020968605e+34,0.0,2.0,2,0.6207926833799737,18.30332648495223,0.05008410578897663,True,,False
1.979749169679625e+34,0.0,2.0,2,0.753677481110287,16.946645054974574,0.06567274463822527,True,,False
1.1689518164985872e+34,0.0,2.0,2,0.564981101911867,19.220171284411087,0.0434070257155615,True,,False
1.660882782627703e+34,0.0,2.0,2,0.6837607667920347,17.545123189334827,0.05754811689514623,True,,False
2.359833466782179e+34,0.0,2.0,2,0.8303756509013858,16.45724702379102,0.07450763509143588,True,,False
2.812888660964246e+34,0.0,2.0,2,0.913359367157686,16.060770572660065,0.08397667399590121,True,,False
3.3529241492495396e+34,0.0,2.0,2,1.0020611845703178,15.743351915451674,0.09398972898292103,True,,False
3.996638937983064e+34,0.0,2.0,2,1.0960102083790522,15.45980502575744,0.10468728765208318,True,,False
4.763938010401321e+34,0.0,2.0,2,1.1926330339342954,15.231162583183506,0.1156264365321962,True,,False
8.06825584030287e+34,0.0,2.0,2,1.4892028611422876,14.647919262478682,0.15012785703168713,True,,False
6.7687500094585135e+34,0.0,2.0,2,1.3900623138710158,14.795983880554852,0.13873108433422848,True,,False
1.3664483492953243e+35,0.0,2.0,2,1.7744975167781007,14.087329909516964,0.18600733543338813,True,,False
5.678547829591974e+34,0.0,2.0,2,1.2909081576569348,14.993097479518108,0.12714150314329048,True,,False
9.617248711152945e+34,0.0,2.0,2,1.5872345427034389,14.463165237221274,0.16205450904616744,True,,False
1.146362666267422e+35,0.0,2.0,2,1.6826595582958934,14.276284005067298,0.17404615719197775,True,,False
1.9414919457438817e+35,0.0,2.0,2,1.942869168813405,13.703541841428121,0.2093601820922447,True,,False
1.6287874214985499e+35,0.0,2.0,2,1.86162047198903,13.897620536255378,0.19780353910384327,True,,False
2.3142313881085676e+35,0.0,2.0,2,2.0173150972811045,13.505397120063883,0.2205716747857534,True,,False
