p_c_cgs,rho0_gcm3,r_c_km,n,M_Msun,R_km,C,y_R,k2,Lambda,cs2_max,success,at_boundary
1e+33,0.0,0.5,0,0.3962676124635703,43.608395896706426,0.013418433786218074,1.8538864604836363,0.016575845581028523,25402431.90128952,1.0,True,False
1.2349991726875902e+33,0.0,0.5,0,0.3956269405285456,41.4351391772379,0.014099393018467863,1.856366102193295,0.016403665397753647,19626712.459950916,1.0,True,False
1.5252229565390322e+33,0.0,0.5,0,0.39484094155197763,39.408957317019365,0.014794850989805612,1.8597832812513206,0.01614278169013635,15182180.046422444,1.0,True,False
1.8836490894897945e+33,0.0,0.5,0,0.39390372392107825,37.43923602863535,0.015536259603549964,1.8624444572235626,0.015962889376161835,11756766.627455864,1.0,True,False
6.68343917568619e+33,0.0,0.5,0,0.41446236528205893,25.06279826869674,0.024419620120809102,1.861657084304317,0.01695024377901174,1301338.1788222725,1.0,True,False
3.548133892335731e+33,0.0,0.5,0,0.39012616292296015,32.19109478389963,0.01789586481400561,1.8735356906927336,0.015150765923123045,5502751.201414883,1.0,True,False
2.3263050671536287e+33,0.0,0.5,0,0.3928094050512673,35.61077411278082,0.016288602459329928,1.8662047414535292,0.015679472604104464,9116351.700598918,1.0,True,False
8.254041852680274e+33,0.0,0.5,0,0.44073756394127755,22.798443242349638,0.02854685275892207,1.842753151753165,0.019064363869816595,670409.0749187112,1.0,True,False
1.2589254117941712e+34,0.0,0.5,0,0.5256838516080783,19.21163572364992,0.040405794795483,1.7587556592184046,0.02728457041741621,168891.4218201875,1.0,True,False
2.87298483335368e+33,0.0,0.5,0,0.3915521416116278,33.83377661677342,0.017089229692746715,1.8692482450519425,0.015473239175375157,7077461.966399306,1.0,True,False
2.928644564625249e+34,0.0,0.5,0,0.8197351615547963,15.605315685825714,0.07756831659880122,1.4375095323516456,0.05212661779076662,12375.035565292836,1.0,True,False
4.3819424216194276e+33,0.0,0.5,0,0.391036596700023,30.039172408044486,0.01922262979113081,1.875035452003212,0.01515463837168094,3849375.77342913,1.0,True,False
5.411695265464648e+33,0.0,0.5,0,0.39825329980805463,27.6134519192136,0.02129717714761378,1.8731293935501825,0.015559951290065656,2367591.419951714,1.0,True,False
